                             Iteration Statistics
                             --------------------

                            Convergence Indicators
 -----------------------------------------------------------------------------
  ROUND        CA            CR            CM            CD        MAX.CHA.
 -------  ------------  ------------  ------------  ------------  ------------
        rhs' * rhs =    7.40900005269350     
 animal rhs' * rhs =    2.02800001250704     
       ------------------------------------------------------
       0     1.000         1.000         1.000         0.000         0.000    
       1    0.4842        0.2575        0.2207         1.000        0.5423         1.000    
       2    0.1754        0.9276E-01    0.7472E-01    0.1539        0.5838E-01    0.5121    
       3    0.1104        0.6328E-01    0.5308E-01    0.8938E-01   -0.5209E-01    0.3727    
       4    0.7422E-01    0.4172E-01    0.3741E-01    0.1179        0.5519E-01    0.6030    
       5    0.8466E-01    0.4494E-01    0.3465E-01    0.6819E-01   -0.3208E-01    0.5173    
       6    0.3030E-01    0.1594E-01    0.1380E-01    0.6376E-01    0.3073E-01    0.6238    
       7    0.1739E-01    0.9124E-02    0.7221E-02    0.2382E-01   -0.1536E-01    0.3174    
       8    0.6203E-02    0.3774E-02    0.3381E-02    0.8615E-02   -0.3366E-02    0.1155    
       9    0.9535E-03    0.4991E-03    0.4089E-03    0.4604E-02    0.2759E-02    0.3955E-01
      10    0.8934E-15    0.4735E-15    0.3843E-15    0.9120E-03   -0.4765E-03    0.1211E-01
